x,i1,i2,o1,o2
-25.17,0,0,0,0
-25.11,0,0,0,0
-25.05,0,0,0,0
-24.99,0,0,0,0
-24.93,0,0,0,0
-24.87,0,0,0,0
-24.81,0,0,0,0
-24.75,0,0,0,0
-24.69,0,0,0,0
-24.63,0,0,0,0
-24.57,0,0,0,0
-24.51,0,0,0,0
-24.45,0,0,0,0
-24.39,0,0,0,0
-24.33,0,0,0,0
-24.27,0,0,0,0
-24.21,0,0,0,0
-24.15,0,0,0,0
-24.09,0,0,0,0
-24.03,0,0,0,0
-23.97,0,0,0,0
-23.91,0,0,0,0
-23.85,0,0,0,0
-23.79,0,0,0,0
-23.73,0,0,0,0
-23.67,0,0,0,0
-23.61,0,0,0,0
-23.55,0,0,0,0
-23.49,0,0,0,0
-23.43,0,0,0,0
-23.37,0,0,0,0
-23.31,0,0,0,0
-23.25,0,0,0,0
-23.19,0,0,0,0
-23.13,0,0,0,0
-23.07,0,0,0,0
-23.01,0,0,0,0
-22.95,0,0,0,0
-22.89,0,0,0,0
-22.83,0,0,0,0
-22.77,0,0,0,0
-22.71,0,0,0,0
-22.65,0,0,0,0
-22.59,0,0,0,0
-22.53,0,0,0,0
-22.47,0,0,0,0
-22.41,0,0,0,0
-22.35,0,0,0,0
-22.29,0,0,0,0
-22.23,0,0,0,0
-22.17,0,0,0,0
-22.11,0,0,0,0
-22.05,0,0,0,0
-21.99,0,0,0,0
-21.93,0,0,0,0
-21.87,0,0,0,0
-21.81,0,0,0,0
-21.75,0,0,0,0
-21.69,0,0,0,0
-21.63,0,0,0,0
-21.57,0,0,0,0
-21.51,0,0,0,0
-21.45,0,0,0,0
-21.39,0,0,0,0
-21.33,0,0,0,0
-21.27,0,0,0,0
-21.21,0,0,0,0
-21.15,0,0,0,0
-21.09,0,0,0,0
-21.03,0,0,0,0
-20.97,0,0,0,0
-20.91,0,0,0,0
-20.85,0,0,0,0
-20.79,0,0,0,0
-20.73,0,0,0,0
-20.67,0,0,0,0
-20.61,0,0,0,0
-20.55,0,0,0,0
-20.49,0,0,0,0
-20.43,0,0,0,0
-20.37,0,0,0,0
-20.31,0,0,0,0
-20.25,0,0,0,0
-20.19,0,0,0,0
-20.13,0,0,0,0
-20.07,0,0,0,0
-20.01,0,0,0,0
-19.95,0,0,0,0
-19.89,0,0,0,0
-19.83,0,0,0,0
-19.77,0,0,0,0
-19.71,0,0,0,0
-19.65,0,0,0,0
-19.59,0,0,0,0
-19.53,0,0,0,0
-19.47,0,0,0,0
-19.41,0,0,0,0
-19.35,0,0,0,0
-19.29,0,0,0,0
-19.23,0,0,0,0
-19.17,0,0,0,0
-19.11,0,0,0,0
-19.05,0,0,0,0
-18.99,0,0,0,0
-18.93,0,0,0,0
-18.87,0,0,0,0
-18.81,0,0,0,0
-18.75,0,0,0,0
-18.69,0,0,0,0
-18.63,0,0,0,0
-18.57,0,0,0,0
-18.51,0,0,0,0
-18.45,0,0,0,0
-18.39,0,0,0,0
-18.33,0,0,0,0
-18.27,0,0,0,0
-18.21,0,0,0,0
-18.15,0,0,0,0
-18.09,0,0,0,0
-18.03,0,0,0,0
-17.97,0,0,0,0
-17.91,0,0,0,0
-17.85,0,0,0,0
-17.79,0,0,0,0
-17.73,0,0,0,0
-17.67,0,0,0,0
-17.61,0,0,0,0
-17.55,0,0,0,0
-17.49,0,0,0,0
-17.43,0,0,0,0
-17.37,0,0,0,0
-17.31,0,0,0,0
-17.25,0,0,0,0
-17.19,0,0,0,0
-17.13,0,0,0,0
-17.07,0,0,0,0
-17.01,0,0,0,0
-16.95,0,0,0,0
-16.89,0,0,0,0
-16.83,0,0,0,0
-16.77,0,0,0,0
-16.71,0,0,0,0
-16.65,0,0,0,0
-16.59,0,0,0,0
-16.53,0,0,0,0
-16.47,0,0,0,0
-16.41,0,0,0,0
-16.35,0,0,0,0
-16.29,0,0,0,0
-16.23,0,0,0,0
-16.17,0,0,0,0
-16.11,0,0,0,0
-16.05,0,0,0,0
-15.99,0,0,0,0
-15.93,0,0,0,0
-15.87,0,0,0,0
-15.81,0,0,0,0
-15.75,0,0,0,0
-15.69,0,0,0,0
-15.63,0,0,0,0
-15.57,0,0,0,0
-15.51,0,0,0,0
-15.45,0,0,0,0
-15.39,0,0,0,0
-15.33,0,0,0,0
-15.27,0,0,0,0
-15.21,0,0,0,0
-15.15,0,0,0,0
-15.09,0,0,0,0
-15.03,0,0,0,0
-14.97,0,0,0,0
-14.91,0,0,0,0
-14.85,0,0,0,0
-14.79,0,0,0,0
-14.73,0,0,0,0
-14.67,0,0,0,0
-14.61,0,0,0,0
-14.55,0,0,0,0
-14.49,0,0,0,0
-14.43,0,0,0,0
-14.37,0,0,0,0
-14.31,0,0,0,0
-14.25,0,0,0,0
-14.19,0,0,0,0
-14.13,0,0,0,0
-14.07,0,0,0,0
-14.01,0,0,0,0
-13.95,0,0,0,0
-13.89,0,0,0,0
-13.83,0,0,0,0
-13.77,0,0,0,0
-13.71,0,0,0,0
-13.65,0,0,0,0
-13.59,0,0,0,0
-13.53,0,0,0,0
-13.47,0,0,0,0
-13.41,0,0,0,0
-13.35,0,0,0,0
-13.29,0,0,0,0
-13.23,0,0,0,0
-13.17,0,0,0,0
-13.11,0,0,0,0
-13.05,0,0,0,0
-12.99,0,0,0,0
-12.93,0,0,0,0
-12.87,0,0,0,0
-12.81,0,0,0,0
-12.75,0,0,0,0
-12.69,0,0,0,0
-12.63,0,0,0,0
-12.57,0,0,0,0
-12.51,0,0,0,0
-12.45,0,0,0,0
-12.39,0,0,0,0
-12.33,0,0,0,0
-12.27,0,0,0,0
-12.21,0,0,0,0
-12.15,0,0,0,0
-12.09,0,0,0,0
-12.03,0,0,0,0
-11.97,2.09684149810779E-13,-3.70831804985837E-12,2.0968414981078E-13,-3.70831804985839E-12
-11.91,1.22584579889378E-12,-1.24716591255748E-11,1.22584579889383E-12,-1.24716591255753E-11
-11.85,4.41949669601176E-12,-3.10587901228351E-11,4.41949669601241E-12,-3.10587901228397E-11
-11.79,7.25829749344977E-12,-4.54171373790082E-11,7.25829749345152E-12,-4.54171373790192E-11
-11.73,1.19842556391842E-11,-7.45957451922683E-11,1.1984255639189E-11,-7.45957451922981E-11
-11.67,1.73392662343497E-11,-1.07606281656931E-10,1.73392662343597E-11,-1.07606281656993E-10
-11.61,2.42104545281445E-11,-1.51696231522949E-10,2.42104545281641E-11,-1.51696231523071E-10
-11.55,3.31784843200424E-11,-2.04035562594222E-10,3.31784843200791E-11,-2.04035562594448E-10
-11.49,4.49853149093696E-11,-2.74630227783865E-10,4.49853149094371E-11,-2.74630227784276E-10
-11.43,6.01954805456098E-11,-3.66563986311708E-10,6.01954805457306E-11,-3.66563986312444E-10
-11.37,8.05671021771629E-11,-4.85867734373625E-10,8.05671021773793E-11,-4.8586773437493E-10
-11.31,1.04632390755338E-10,-6.28677014211117E-10,1.04632390755703E-10,-6.28677014213309E-10
-11.25,1.37601190925391E-10,-8.25432562935395E-10,1.37601190926022E-10,-8.25432562939181E-10
-11.19,1.79489632237253E-10,-1.07804709195717E-09,1.79489632238327E-10,-1.07804709196362E-09
-11.13,2.32152612939159E-10,-1.39478949993836E-09,2.32152612940955E-10,-1.39478949994915E-09
-11.07,2.99928981977028E-10,-1.80415528345945E-09,2.99928981980027E-10,-1.80415528347748E-09
-11.01,3.88867320595114E-10,-2.33607772556401E-09,3.88867320600155E-10,-2.33607772559429E-09
-10.95,5.03887141538516E-10,-3.02412686329856E-09,5.0388714154698E-10,-3.02412686334935E-09
-10.89,6.5071443505132E-10,-3.90412374780186E-09,6.50714435065434E-10,-3.90412374788654E-09
-10.83,8.41010865771688E-10,-5.04575222920247E-09,8.41010865795264E-10,-5.04575222934392E-09
-10.77,1.08459932963867E-09,-6.50719386579377E-09,1.08459932967788E-09,-6.50719386602903E-09
-10.71,1.39875457468312E-09,-8.39202783566824E-09,1.39875457474834E-09,-8.39202783605951E-09
-10.65,1.80084812623361E-09,-1.08043798057253E-08,1.80084812634171E-09,-1.08043798063739E-08
-10.59,2.31970349010433E-09,-1.39172851000617E-08,2.31970349028369E-09,-1.39172851011378E-08
-10.53,2.98835398464931E-09,-1.79304529089528E-08,2.98835398494699E-09,-1.79304529107388E-08
-10.47,3.84854288520424E-09,-2.30917810390413E-08,3.84854288569795E-09,-2.30917810420037E-08
-10.41,4.95685265307351E-09,-2.97419337992098E-08,4.95685265389252E-09,-2.9741933804124E-08
-10.35,6.38281777817095E-09,-3.82995412566261E-08,6.38281777952896E-09,-3.82995412647748E-08
-10.29,8.2175863473425E-09,-4.93105393827538E-08,8.21758634959345E-09,-4.93105393962609E-08
-10.23,1.05786460024802E-08,-6.34767436173347E-08,1.05786460062105E-08,-6.3476743639718E-08
-10.17,1.36200662047091E-08,-8.17233857934268E-08,1.36200662108927E-08,-8.17233858305294E-08
-10.11,1.75368209536972E-08,-1.05221565719428E-07,1.75368209639486E-08,-1.05221565780937E-07
-10.05,2.25776601683997E-08,-1.35465644416134E-07,2.25776601853914E-08,-1.35465644518084E-07
-9.99,2.90663039154978E-08,-1.74398930056435E-07,2.90663039436595E-08,-1.74398930225406E-07
-9.93,3.74185074728867E-08,-2.24515129709266E-07,3.74185075195582E-08,-2.245151299893E-07
-9.87,4.81722397170346E-08,-2.89039978802439E-07,4.81722397943867E-08,-2.89039979266563E-07
-9.81,6.20168776073669E-08,-3.72110209671354E-07,6.20168777355699E-08,-3.72110210440591E-07
-9.75,7.98393528269623E-08,-4.79046125806016E-07,7.98393530394396E-08,-4.79046127080907E-07
-9.69,1.02780992313701E-07,-6.16699318239272E-07,1.02780992665832E-07,-6.16699320352103E-07
-9.63,1.32315665924953E-07,-7.93910492802975E-07,1.32315666508534E-07,-7.93910496304532E-07
-9.57,1.70334756898679E-07,-1.0220347234616E-06,1.70334757865809E-07,-1.02203472926452E-06
-9.51,2.19279037040407E-07,-1.31571027015162E-06,2.19279038643181E-07,-1.31571027976853E-06
-9.45,2.82288558608603E-07,-1.69377602791195E-06,2.82288561264826E-07,-1.69377604384971E-06
-9.39,3.63402192940027E-07,-2.18047096316512E-06,3.63402197342055E-07,-2.18047098957799E-06
-9.33,4.67822832448328E-07,-2.80701372223408E-06,4.6782283974358E-07,-2.80701376600678E-06
-9.27,6.02250530246277E-07,-3.61359715842473E-06,6.0225054233642E-07,-3.61359723096748E-06
-9.21,7.75304239318465E-07,-4.65194940024748E-06,7.75304259354921E-07,-4.65194952046941E-06
-9.15,9.98084217386837E-07,-5.98866578561881E-06,9.98084250592361E-07,-5.9886659848573E-06
-9.09,1.2848792104309E-06,-7.70947847205019E-06,1.28487926546093E-06,-7.70947880223909E-06
-9.03,1.6540837394175E-06,-9.92476364463824E-06,1.6540838306163E-06,-9.92476419184543E-06
-8.97,2.12937762074295E-06,-1.27766010121442E-05,2.12937777188251E-06,-1.27766019190054E-05
-8.91,2.74124281923648E-06,-1.64478911062711E-05,2.74124306971248E-06,-1.64478926091667E-05
-8.85,3.52892328171976E-06,-2.11740920793184E-05,3.52892369682034E-06,-2.11740945699868E-05
-8.79,4.54293986670224E-06,-2.72583396075029E-05,4.54294055462559E-06,-2.7258343735149E-05
-8.73,5.84832392232054E-06,-3.50908277934015E-05,5.84832506237413E-06,-3.50908346338954E-05
-8.67,7.52879901735082E-06,-4.51739034111755E-05,7.52880090668659E-06,-4.51739147474685E-05
-8.61,9.69214019942861E-06,-5.81542265082092E-05,9.69214333048637E-06,-5.81542452950032E-05
-8.55,1.24770879307792E-05,-7.48642388170423E-05,1.24770931196206E-05,-7.48642699508029E-05
-8.49,1.60622452681966E-05,-9.63755567859994E-05,1.60622538671667E-05,-9.6375608380936E-05
-8.43,2.06775280606398E-05,-0.00012406765492304,2.06775423107522E-05,-0.000124067740425428
-8.37,2.66189011079109E-05,-0.000159716278857554,2.66189247227353E-05,-0.000159716420549048
-8.31,3.426720030216E-05,-0.000205606348889654,3.42673833496913E-05,-0.000205607447191653
-8.25,4.41125848276128E-05,-0.000264678643507851,4.41132782158123E-05,-0.000264682803886318
-8.19,5.67861714046669E-05,-0.000340719533937164,5.67877586286762E-05,-0.000340729057351251
-8.13,7.30999315371464E-05,-0.000438600263364429,7.31032055388946E-05,-0.000438619907405112
-8.07,9.40989741434048E-05,-0.000564590466469929,9.41051222523941E-05,-0.000564627354903132
-8.01,0.000121127747937356,-0.000726755079613338,0.000121138996884713,-0.000726822572238033
-7.95,0.000155916277024457,-0.000935471233587999,0.00015593610598922,-0.000935590204015468
-7.89,0.000200689364201341,-0.00120408263215317,0.000200723962761185,-0.00120429021427976
-7.83,0.000258308633127578,-0.00154975040372167,0.000258367902403977,-0.00155010599611483
-7.77,0.000332452431558284,-0.00199453014505992,0.000332553141465847,-0.00199513434863154
-7.71,0.000427847323478129,-0.00256675697260691,0.000428017811398212,-0.00256777976983762
-7.65,0.00055056525771616,-0.00330282204443537,0.000550851619993523,-0.00330453992188789
-7.59,0.00070839820212904,-0.00424940961427285,0.000708878090508187,-0.00425228828094083
-7.53,0.000911341344149104,-0.00546637842634314,0.000912141657849793,-0.00547117884231882
-7.47,0.00117219788104433,-0.00703036113203806,0.00117352909278932,-0.00703834519297338
-7.41,0.00150734632465442,-0.00903931969666087,0.00150955680281586,-0.0090525755877968
-7.35,0.00193770766451817,-0.0116182688569315,0.00194136668317932,-0.0116402079054971
-7.29,0.00248993436892023,-0.0149262798810856,0.0024959792211707,-0.0149625166420446
-7.23,0.0031978997871545,-0.0191652043000928,0.00320785528401286,-0.0192248681869869
-7.17,0.00410448582709552,-0.0245900546631646,0.00412083295780762,-0.0246879906421715
-7.11,0.0052637396914136,-0.0315213874271998,0.00529049126554137,-0.0316815865977143
-7.05,0.00674342212523869,-0.0403596986703849,0.00678699902218483,-0.0406205084487249
-6.99,0.0086278804174783,-0.0516012432480493,0.00869848029629706,-0.0520234838614947
-6.93,0.01102126785785,-0.0658551228552185,0.0111348709403766,-0.0665339326848143
-6.87,0.0140509593698927,-0.0838603261103695,0.0142321933689894,-0.0849419847976119
-6.81,0.0178710546815043,-0.106501476971847,0.0181570512186104,-0.108205856156706
-6.75,0.0226659156369063,-0.134822149826278,0.0231110236685972,-0.137469756157248
-6.69,0.0286538056515695,-0.170035047157616,0.0293345055656565,-0.174074400373011
-6.63,0.0360915558523338,-0.213533049184139,0.0371094425446167,-0.219555301314704
-6.57,0.0452818627070803,-0.26690857236751,0.0467605384799968,-0.275624451440255
-6.51,0.0565870226621205,-0.332000567238423,0.0586547853724593,-0.344132295688708
-6.45,0.0704553311139852,-0.411000324302769,0.0731999388407093,-0.427010960374333
-6.39,0.0874690934314138,-0.506658159666745,0.0908435440985506,-0.526204411923702
-6.33,0.108427354879342,-0.622647300448468,0.112075000974026,-0.643594016306049
-6.27,0.134480304531718,-0.764144643099839,0.13743356963401,-0.780925700485367
-6.21,0.167337431751152,-0.93868357084561,0.167523957190187,-0.939729890030354
-6.15,0.209563444092115,-1.15723207316707,0.203036871117768,-1.121191629155
-6.09,0.265050098749077,-1.4357629191684,0.244762539180296,-1.32586623968498
-6.03,0.339484203786756,-1.7959682994887,0.293581093407132,-1.55312774852887
-5.97,0.440756056742877,-2.26444767143163,0.350353532534156,-1.79999169333624
-5.91,0.578400771431385,-2.86562219595143,0.415651024982692,-2.0592967053151
-5.85,0.760329759623199,-3.6019029945563,0.489211699043242,-2.31753796488129
-5.79,0.984750004822713,-4.41897202634077,0.569140803372738,-2.55396524685067
-5.73,1.22931762672107,-5.17929721332776,0.651215928334964,-2.74366914586284
-5.67,1.44977551894507,-5.69830709518618,0.729162124010773,-2.86595383250435
-5.61,1.60117789407769,-5.85700879062637,0.796659074791669,-2.91412916793658
-5.55,1.66712760323827,-5.6842414645607,0.850134849136864,-2.8986214075907
-5.49,1.66349873400711,-5.30918009654913,0.889737329679588,-2.83966294973535
-5.43,1.61771269517914,-4.85876264725046,0.917834773644378,-2.75669550459766
-5.37,1.55196168468286,-4.41024371605628,0.937175644930525,-2.66319268039175
-5.31,1.47966247818888,-3.99795867755441,0.950042351489013,-2.56695707241882
-5.25,1.4077696551889,-3.6321942818139,0.958127610412926,-2.47207035253425
-5.19,1.33949478709292,-3.31240397779135,0.962643849618731,-2.38049848898162
-5.13,1.27609190388133,-3.03401186673946,0.964456025856196,-2.29307232378476
-5.07,1.2178290971465,-2.79141131898067,0.964186485939936,-2.21003183186152
-5.01,1.16452581633678,-2.57924091826458,0.962288700727239,-2.13131762068345
-4.95,1.11580414370001,-2.39277338396605,0.959098128982309,-2.05672697004923
-4.89,1.07122857224674,-2.22801367242751,0.954866505105102,-1.98599597120083
-4.83,1.0303589321476,-2.08162489499103,0.94978551808998,-1.91884315035457
-4.77,0.992787313945171,-1.95085397748062,0.944002998652278,-1.85499147582393
-4.71,0.958146609330747,-1.83342959654314,0.93763439517776,-1.79417913095418
-4.65,0.926158494253021,-1.72755946840675,0.93077045103524,-1.73616213161877
-4.59,0.896432068781183,-1.63148626015027,0.923484649959387,-1.68072135116375
-4.53,0.868768998500883,-1.54400932316309,0.91583501336844,-1.62765683577581
-4.47,0.84294774346154,-1.46403247489185,0.907869433907485,-1.57678853109461
-4.41,0.818777415344471,-1.39063647477215,0.899626903774052,-1.5279537058899
-4.35,0.796089287244367,-1.32303944432345,0.891139604732816,-1.48100579464074
-4.29,0.774736066620426,-1.2605765049509,0.882434255389712,-1.43581270762384
-4.23,0.754587085391687,-1.20267654522378,0.873533196956952,-1.39225532452513
-4.17,0.735528107230729,-1.14884982214159,0.864455209104455,-1.35022605317989
-4.11,0.717458098750715,-1.09867297265525,0.855216172305361,-1.30962755305943
-4.05,0.700288289360073,-1.05177965121782,0.845829575186145,-1.27037157281603
-3.99,0.683937963303288,-1.00784777737236,0.83630694915122,-1.23237800082367
-3.93,0.668335943469207,-0.966596679125805,0.826658193104255,-1.19557398047308
-3.87,0.653418522015187,-0.927779670458293,0.8168918537183,-1.15989313021833
-3.81,0.639128503738475,-0.891179132763756,0.807015346552329,-1.12527485859375
-3.75,0.625414390445392,-0.856602417820482,0.797035141038379,-1.09166376618732
-3.69,0.612230363252202,-0.823879325086996,0.786956906674056,-1.05900909863252
-3.63,0.599532902712778,-0.792855478700638,0.776785661310506,-1.02726433288214
-3.57,0.587285144739046,-0.763396454328503,0.766525855245715,-0.996386721659226
-3.51,0.575450978497739,-0.735378426237467,0.756181486492304,-0.966336963990068
-3.45,0.563999904901507,-0.708693290285522,0.745756155613345,-0.937078852459379
-3.39,0.552902225219212,-0.683241347567884,0.735253147470041,-0.908579000711721
-3.33,0.542131291643876,-0.658933315529173,0.72467548651065,-0.880806602329193
-3.27,0.531662610292974,-0.635688374885026,0.714025988246656,-0.853733197156877
-3.21,0.521473615767823,-0.613433206026566,0.703307302616325,-0.827332467876795
-3.15,0.51154347455824,-0.592101155285461,0.692521953553227,-0.801580059472982
-3.09,0.501853392967252,-0.571632053076307,0.681672368562495,-0.776453404574662
-3.03,0.492384512514892,-0.551969359388639,0.670760923987491,-0.751931606510692
-2.97,0.483121202655835,-0.53306351808261,0.659789963025391,-0.727995287626531
-2.91,0.474047094455825,-0.514867120887669,0.648761829641943,-0.704626479681314
-2.85,0.46514870418872,-0.497338630379884,0.637678886582968,-0.68180850815973
-2.79,0.456412149186261,-0.480438486552982,0.626543538916611,-0.659525891528803
-2.73,0.447824885911076,-0.464130781038747,0.615358261673465,-0.637764268120338
-2.67,0.439375182252785,-0.44838245661863,0.604125619470301,-0.616510308969841
-2.61,0.43105242723176,-0.433163417423782,0.592848273622078,-0.595751625539177
-2.55,0.42284551824144,-0.418444757374779,0.58152896733946,-0.575476709926538
-2.49,0.414745581596963,-0.404201281989907,0.570170669811064,-0.555674914735158
-2.43,0.406742853499067,-0.390408287169256,0.558776509018796,-0.536336355807528
-2.37,0.398829568956449,-0.37704427923408,0.547349766449305,-0.517451849720692
-2.31,0.39099742597839,-0.364088378113364,0.535893914422602,-0.499012866017514
-2.25,0.383238997933178,-0.351521586769322,0.524412641238501,-0.481011496126997
-2.19,0.375547657340786,-0.33932659272639,0.512909856314205,-0.463440393028327
-2.13,0.367916310309471,-0.32748653148842,0.501389718239998,-0.446292744163091
-2.07,0.360339574384612,-0.315986875299536,0.489856638382994,-0.429562222722064
-2.01,0.352811587422273,-0.304813372966254,0.478315295225239,-0.413242942342631
-1.95,0.345327247936508,-0.293953098905794,0.466770653062313,-0.397329433937908
-1.89,0.337881898608798,-0.283394094814757,0.455227969973087,-0.381816602239026
-1.83,0.330471326158599,-0.273125303991107,0.44369280788141,-0.36669969052964
-1.77,0.323092018012593,-0.263136717714296,0.432171034711524,-0.351974240232543
-1.71,0.315740382418173,-0.253418674754028,0.420668840301081,-0.337636064170668
-1.65,0.308413559919264,-0.243962481697381,0.40919274267886,-0.323681218888771
-1.59,0.301109159110138,-0.234760133867573,0.397749587497766,-0.310105965167911
-1.53,0.29382526740866,-0.225804271653656,0.386346548890953,-0.29690673592374
-1.47,0.286560462100461,-0.217088138812547,0.374991126139209,-0.284080103193871
-1.41,0.279314042152334,-0.208605707363156,0.363691131870832,-0.271622741345186
-1.35,0.272085147685608,-0.200350969998168,0.352454699633413,-0.259531406078666
-1.29,0.264874340293216,-0.192319083125869,0.341290253906551,-0.24780289641663
-1.23,0.257682053297558,-0.184505160826989,0.330206500480705,-0.236434018968938
-1.17,0.250509494905236,-0.176904912099188,0.319212408015945,-0.225421567363715
-1.11,0.243358430324629,-0.169514436418394,0.30831717825651,-0.214762285574179
-1.05,0.236231371998522,-0.16233031861083,0.297530209176641,-0.204452834707716
-0.989999999999999,0.229130828694919,-0.155349075592374,0.286861075900302,-0.1944897734555
-0.929999999999999,0.222060625623291,-0.148568040252935,0.276319471337653,-0.184869524820687
-0.870000000000002,0.215024578454941,-0.141984416693958,0.265915169374027,-0.175588346620375
-0.810000000000001,0.208027234576192,-0.135595770163727,0.255657974844018,-0.166642315214629
-0.749999999999998,0.201073663318658,-0.129399860660178,0.245557665964745,-0.158027298232091
-0.689999999999997,0.194169429651219,-0.123394609961171,0.235623934568519,-0.149738934475035
-0.629999999999997,0.187320560564976,-0.117578068343183,0.225866322608511,-0.141772616075826
-0.569999999999997,0.180533504753,-0.111948381672038,0.216294156849919,-0.134123473964541
-0.51,0.173815082510084,-0.106503758046713,0.206916478318022,-0.126786365282092
-0.450000000000003,0.167172565123879,-0.101242517952181,0.197741967847829,-0.119755862541789
-0.390000000000002,0.160613059066227,-0.0961627254100282,0.188778890461995,-0.113026255226365
-0.329999999999999,0.154144407480145,-0.0912627524062668,0.180035009685278,-0.106591544785585
-0.269999999999995,0.147774023590712,-0.0865405857238905,0.17151753515662,-0.100445447675452
-0.209999999999998,0.14150986327445,-0.0819944347419359,0.163233044573171,-0.0945814016866409
-0.150000000000001,0.135359327354129,-0.0776221020096033,0.15518744063962,-0.0889925768944093
-0.0900000000000005,0.12933014881506,-0.0734215359726488,0.147385881293316,-0.0836718884528001
-0.0300000000000002,0.123429476419656,-0.0693903245311055,0.139832746304435,-0.078612013334242
0.0300000000000002,0.11766416645464,-0.0655259029303286,0.132531603195466,-0.0738054178077632
0.0900000000000005,0.112040983986048,-0.0618256972381624,0.125485162062205,-0.0692443725637553
0.150000000000001,0.106565908395156,-0.0582867655560323,0.118695269663685,-0.0649209813878128
0.210000000000001,0.101244399209694,-0.0549059863363826,0.112162903447902,-0.0608272150581328
0.270000000000001,0.0960815784327983,-0.0516801883128263,0.105888157892966,-0.0569549338100669
0.330000000000002,0.0910816404777806,-0.0486058561002365,0.0998702682743122,-0.0532959207033325
0.389999999999999,0.0862481048119644,-0.0456793011534747,0.0941076342599498,-0.0498419179827006
0.449999999999996,0.0815839938614939,-0.0428967807547367,0.0885978372039918,-0.0465846524299331
0.51,0.0770913512001369,-0.0402542608083132,0.0833376905399757,-0.0435158688741821
0.570000000000003,0.0727714889169174,-0.0377475701743363,0.0783232881707364,-0.0406273646521795
0.630000000000003,0.0686251682532815,-0.0353725091898158,0.0735500459947671,-0.0379110134675242
0.690000000000001,0.0646522194319185,-0.0331246601983895,0.0690127704884829,-0.0353587949782253
0.749999999999998,0.0608517837512053,-0.0309995246150193,0.0647057217459453,-0.0329628236075543
0.809999999999998,0.0572224974958285,-0.0289926204133687,0.0606226705526244,-0.030715368127808
0.869999999999998,0.0537621491552443,-0.0270993056872111,0.0567569744404675,-0.0286088749131306
0.930000000000002,0.0504681496942442,-0.025315019275002,0.0531016353979653,-0.0266359858995767
0.990000000000002,0.0473372297709395,-0.0236351190627251,0.0496493735902351,-0.0247895548994572
1.05,0.0443656584061504,-0.0220549877460468,0.0463926918521261,-0.0230626634893561
1.11,0.0415494113770266,-0.0205701073635721,0.0433239312246269,-0.0214486291662686
1.17,0.0388839439409346,-0.0191759336992953,0.0404353361667237,-0.0199410154129334
1.23,0.0363645637701974,-0.017868071993896,0.0377191032745149,-0.0185336377775162
1.29,0.0339861923385935,-0.016642143779436,0.0351674370329478,-0.0172205682126967
1.35,0.031743696246965,-0.0154939390399983,0.0327725901631419,-0.0159961370037088
1.41,0.0296316792720282,-0.0144192984330763,0.0305269093363121,-0.0148549331922362
1.47,0.027644773315097,-0.0134142440911672,0.0284228661486844,-0.0137918028823485
1.53,0.0257774560096885,-0.0124748751514444,0.0264530938434443,-0.0128018468130594
1.59,0.0240242811094703,-0.0115974687378259,0.0246104093466849,-0.0118804159726038
1.65,0.0223798253124947,-0.0107784402298241,0.0228878357320677,-0.011023105229083
1.71,0.0208386658501885,-0.0100143206265859,0.0212786234590671,-0.0102257485840708
1.77,0.0193955537261436,-0.00930182978220867,0.0197762605327124,-0.00948441131412225
1.83,0.0180452771363067,-0.00863779862945119,0.0183744870401643,-0.00879538273496879
